name,endereco,bairro,cep,cidade,estado,pais,telefone,nome_fantasia,email,site,cnpj
Associação de Pais e Amigos dos Excepcionais - APAE,Avenida Castelo Branco - 1163 -,Centro,78260000,Araputanga,MT,Brasil,65-32611149,Escola Amigo Especial,apaeara@bol.com.br,,
Associação de Pais e Amigos dos Excepcioanis,Rua da Conceição - 231 -,Centro,37443000,Baependi,MG,Brasil,35-33431056,APAE,apae@nestsulminas.com.br,,
ASSOCIAÇÃO CONGREGAÇÃO DE SANTA CATARINA,AVENIDA PAULISTA - 200 -,BELA VISTA,1310000,São Paulo,SP,Brasil,11-30164242,ASSOCIAÇÃO SANTA CATARINA,financeiro@acsc.org.br,www.acsc.org.br,60922168000186
ASSOCIAÇAO PROPAGADORA SOVERDI,RUA VERBO DIVINO - 993 -,CHAC STO ANTONIO,4719001,São Paulo,SP,Brasil,11-51816444,,,,
CASA DE CARIDADE DE ARARUAMA,RUA MAJOR FELIX MOREIRA - 267 -,CENTRO,28970000,Araruama,RJ,Brasil,22-88020298,,,,
AÇÃO SOCIAL PARÓQUIA PALMARES,Rua Teresa Helena Alvin - s/n -,Santa Rosa,55540000,Palmares,PE,Brasil,81-36611505,,,,
ASSOCIAÇÃO ARTÍSTICO-CULTURAL DE CABEDELO,RUA SANTA CATARINA - S/N - FORTALEZA SANTA CATARINA,CENTRO,58310000,Cabedelo,PB,Brasil,83-32283959,AACC,aacc.cabedelo@ig.com.br,,
Associação de Pais e Amigos dos Excepcionais,Rua Primavera - 115 - Casa,Centro,86480000,Conselheiro Mairinck,PR,Brasil,43-35611400,APAE de Conselheiro Mairinck,apae_cmk@yahoo.com.br,http://conselheiromairinck.apaepr.org.br,3338968000110
A.P.A.C. ASSOCIAÇAO DE PROT. E ASSIST. AOS CONDENADOS DE POUSO ALEGRE,RUA PROF. MENDOÇA DE BARROS COBRA - 88 -,CENTRO,37550000,Pouso Alegre,MG,Brasil,35-34253426,,,,
CASA DE ACOLHIDA,RUA PIRATININGA - 690 -,SANTA CECILIA,19800000,Assis,SP,Brasil,18-33232175,PROJETO BEM ME QUER,ioan-p@uol.com.br,,
Ação Comunitária do Espírito Santo,Praça Costa Pereira - 52 - 12 andar,Centro,29010080,Vitória,ES,Brasil,27-32221388,,,,
unas uniao de nucleos associação e sociedade dos moradores de heliopolis e são joão climaco,rua da mina - 38 -,heliopolis,4335460,São Paulo,SP,Brasil,11-22720148,unas,unass@uol.com.br,www.unas.org.br,38883732000140
APAE- Associação de Pais e Amigos dos Excepcionais,Rua: Virgílio Silveira - 244 -,Centro,35547000,Carmo da Mata,MG,Brasil,37-3383-1022,,,,
BENEFICENCIA EVANGELICA ARAGUARINA,AVENIDA BAHIA - 600 -,CENTRO,38440188,Araguari,MG,Brasil,34-3241 2174,BEA,mfcpereira@hotmail.com,,
Nucleo de Assistencia Social Paroquial,RUA FREI APOLONIO DE TODY - 3 - CASA,CENTRO,48410000,Cícero Dantas,BA,Brasil,75-3278-2293,NASP,ninhaba16@hotmail.com,,
Associação Comunitária de Mães Amigos e Moradores do Alterosa,RUA GORCEIX - 1195 -,NITERÓI,32672112,Betim,MG,Brasil,31-96669908,,,,
AÇÃO EDUCACIONAL CLARETIANA,RUA DOM BOSCO - 466 -,CASTELO,14300000,Batatais,SP,Brasil,16-36601777,EDUCLAR,botteon@claretiano.edu.br,www.claretiano.edu.br,44943835000150
Associação Cultural e Científica Nossa Senhora de Fátima,Rua Alexandre Fleming - 454 -,Madureira,95041520,Caxias do Sul,RS,Brasil,54-21088490,x.x.,jose.muller@virviramos.com.br,,
APAE DE CAXIAS DO SUL,RUA PROFESSORA MARIA DAVILA PINTO - 55 -,CINQUENTENÁRIO,95013720,Caxias do Sul,RS,Brasil,54-3013-4900,,,,
LAR DE MENINAS AMELIE BOUDET,RUA AMELIE BOUDET - 55 -,PARQUE S JORGE,17520250,Marília,SP,Brasil,14-3422-1822,LAR DE MENINAS AMELIE BOUDET,ncmotta@terra.com.br,www.lardemeninas.org.br,52056280000153
CENTRO DE ESTUDOS SOCIOPSICANALITICOS CASA ALTO LAPA SANTA,"RUA JOAQUIM MURTINHO, - 654 -",SANTA TERESA,20241320,Rio de Janeiro,RJ,Brasil,21-22242487,CESOP AUTOGESTAO,cesop@olimpo.com.br,,
Associação de Pais e Amigos dos Excepcionais de Aguaí,Rua Assendelft - 507 -,Cidade Nova,13860000,Aguaí,SP,Brasil,19-36521708,APAE de Aguaí,apae.aguai@uol.com.br,,
Associação de Pais e Amigos dos Excepcionais de Caibaté,Rua Seffrim - 1510 -,Centro,97930000,Caibaté,RS,Brasil,55-3355-1498,,,,
Associação de Pais e Amigos dos Excepcionais,Av. João Cardoso de Oliveira - 77 -,Centro,18760000,Cerqueira César,SP,Brasil,14-37141377,APAE,apaecc@hotmail.com,,
Associacao comunitaria e produtiva sao jose,pista dos moroes - -,,49400000,Lagarto,SE,Brasil,79-99667601,,,,
Associação de Pais e Amigos dos Excepcionais,Rua Benjamin Constant - 280 -,Centro,84165220,Castro,PR,Brasil,42-32322010,"Escola de Educação especial "" ARCO-ÍRIS""",apaecastro@uol.com.br,,
ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CANOAS,RUA DR BARCELOS - 234 -,CENTRO,92310200,Canoas,RS,Brasil,51-34726266,APAE,apae.voy@terra.com.br,www.apae-canoas.com.br,87666293000129
Associação Criança Brasil,Rua Jacundá - 112 -,jd. Panorama,5679060,São Paulo,SP,Brasil,11-32970630,,,,
Associação de Pais e Amigos dos Excepcionais de Braganey,Rua São paulo - 174 -,V. N. Sra de Fatima,85430000,Braganey,PR,Brasil,45-32451054,"Escola de Educação Especial ""Raios de Sol""",apaebraganey@nrecascavel.com,,
ABRIGO JOÃO DE DEUS,TRAV. JOAQUIM TÁVORA - 305 -,CIDADE VELHA,66035000,Belém,PA,Brasil,91-32413195,ABRIGO JOÃO DE DEUS,emiliadossantos45@yahoo.com.br,,
Associação de Pais e Amigos dos Excepcionais,Ithalice Alves Polli - 304 - Prédio,Centro,83450000,Bocaiúva do Sul,PR,Brasil,41-3658-1642,"Escola de Educação Especial ""Luz do Meu Caminho""",apaebocaiuva@ig.com.br,,
Associação Comunitária Social e Cultural Evangélica de Marília,Rua Nossa Senhora de Fátima - 560 -,Jardim Polon,17506340,Marília,SP,Brasil,14-3413-9898,ACOSCEM,acoscem@hotmail.com,,
Associação Cultural Artistica e Ecológica de Quixadá,Av. Presidente Vargas - 1102 -,Campo Novo,63900000,Quixadá,CE,Brasil,88-88012380,Associação Culttural Artisitca e Ecológica do Ceará,acaec@oi.com.br,,
Instituto Nosso Lar,Rua Mogno - 10 -,Turmalina,35052814,Governador Valadares,MG,Brasil,33-32212549,Inlar,inlar@wkve.com.brf,,
ASSOCIAÇÃO SOLIDARIEDADE E ESPERANÇA,RUA MARTIM FRANCISCO - 636 -,SANTA CECILIA,1226000,São Paulo,SP,Brasil,11-38258033,ASES,aasp3585@terra.com.br,,
ABASE - ALIANÇA BRASILEIRA DE ASSISTÊNCIA SOCIAL E EDUCACIONAL,RUA SÃO VICENTE DE PAULA - 364 - 3 ANDAR,SANTA CECÍLIA,1229010,São Paulo,SP,Brasil,11-36626188,IRMÃOS DO SAGRADO CORAÇÃO,ir.zeroberto@yahoo.com.br,,
Associação de Pais e Amigos dos Excepcionais de Brotas,Avenida Ricardo Jordani - 180 -,Vila Bandeirantes,17380000,Brotas,SP,Brasil,14-36535187,APAE de Brotas,apaebrotas@viafast.com.br,,
ASSOCIAÇÃO MISSIONÁRIA DE BENEFICÊNCIA,RUA ARNALDO JANSSEN - 320 -,UVARANAS,84032300,Ponta Grossa,PR,Brasil,42-3226-4091,,,,
ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE AÇAILÂNDIA,RUA TOCANTINS - 1416 -,JARDIM AMÉRICA,65930000,Açailândia,MA,Brasil,99-35384272,APAE- AÇAILÂNDIA,apaeacai@yahoo.com.br,,
Apae de Capitão Leônidas Marques,av. tancredo Neves - 264 -,centro,85790000,Capitão Leônidas Marques,PR,Brasil,45-32863246,Apae de Capitão Leônidas Marques,apae@certto.com.br,,
Instituto de Qualidade de Vida - IQUAVI (BUCRISGUE),Rua Paissandu - 113 -,Orpheu Baís,79005070,Campo Grande,MS,Brasil,67-30290461,Instituto de Qualidade de Vida - IQUAVI (BUCRISGUE),roharada@yahoo.com.br,www.bucrisgue.org.br,7769601000102
AME,Rua Godofredo Braga - 215 -,Vila Facchini,4326120,São Paulo,SP,Brasil,11-5588-0599,,,,
"Associação Comunitária de Desenvolvimento Educacional, Cultural, Artístico e Desportivo",Rua Padre Hugo - 426 -,Centro,86420000,Carlópolis,PR,Brasil,43-35661488,ACODECAD,acodecad@bol.com.br,,
Associação de Pais e Amigos dos Excepcionais,Rua Ana Claúdia - sn -,Pitaluga,78600000,Barra do Garças,MT,Brasil,66-34019738,APAE,apaebg@ibest.com.br,apaebarradogarcas.org,15051378000191
Federação das APAEs do Estado de Mato Grosso,Av. Historiador Rubens de Mendonça - 3920 -,Bosque da Saùde,78070000,Cuiabá,MT,Brasil,65-36231853,Federação das APAEs do Estado de Mato Grosso,feapaes-mt@hotmail.com,www.apaemt.org.br,1733986000171
Associação das Crianças Excepcionais de Nova Iguaçu,Rua Maranhão - 594 - casa,Aero Clube,26285010,Nova Iguaçu,RJ,Brasil,21-26690479,ACENI,aceni@olimpo.com.br,,
Comunidade Terapeutica p Farm Dep Monte Sião,av getulio vargas - sn -,agua da porca,19806000,Assis,SP,Brasil,18-33215534,,,,
Albergue Noturno de Foz do Iguaçu,Rua Estanislau Ponte Preta - 1010 -,Jd Cristina,85864180,Foz do Iguaçu,PR,Brasil,45-35735141,Albergue Noturno,alberguenoturno@hotmail.com,,
Associação de Pais e Amigos dos Excep.Americana,Rua Abrahim Abraham - 97 -,Res. Nardini,13468395,Americana,SP,Brasil,19-21089393,APAE Americana,projetos@apaeamericana.com.br,www.apaeamericana.com.br,43262708000123
Assoc. de Pais e Amigos dos Excepcionais de Augusto Pestana,Rua Germano Hickmann - 907 -,Sost,98740000,Augusto Pestana,RS,Brasil,55-33341354,APAE de Augusto Pestana,fabio@pmaugustopestana.com.br,,
Instituto Acaiah,Rua Santos Dumon - 642 -,Centro,15220000,Mendonça,SP,Brasil,17-32353650,,,,
ASSOCIAÇÃO CRISTA EVANGELIZADORA BENEFICENTE,RUA GERALDO WALDEMAR SPRAZER - 28 -,JD SAO JORGE,86030495,Londrina,PR,Brasil,43-33279618,ACEB,orlandoaceb@hotmail.com,,
Casa de Repouso Santa Luiza de Marilac,Rua Monte Sinai - 320 -,Monte Sinai,35450000,Itabirito,MG,Brasil,31-35611151,18307827000108,,,
Associação de Pais e Amigos dos Excepcionais de Batatais,Rua Coronel Joaquim Marques - 959 -,Riachuelo,14300000,Batatais,SP,Brasil,16-36616000,,,,
Associação de Pais e Amigos dos Excepcionais,Av. Francisco Joaquim dos Santos - 300 -,Recanto,35628000,Morada Nova de Minas,MG,Brasil,38-37551948,APAE de Morada Nova de Minas,apaemoradamg@yahoo.com.br,www.moradanovademinas.apaebrasil.or.br,23775992000124
Associação de Pais e Amigos dos Excepcionais - APAE de Agudos,Avenida Monsenhor José Maria da Silva Paes - 225 -,Jardim Cruzeiro,17120000,Agudos,SP,Brasil,14-3262-2060,Apae de Agudos,apaeagudos@lpnet.com.br,,
ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,RUA GETULIO VARGAS - 1054 - CENTRO,CENTRO,87580000,Alto Piquiri,PR,Brasil,44-3656-1187,APAE DE ALTO PIQUIRI,apae.piquir@canalbr.com.br,,
Associação de Famílias de Rotarianos de S Vicente,Av. Senador Salgado Filho - 637 -,Vila Joquei,11360200,São Vicente,SP,Brasil,13-34646120,46836979000133,,,
ASSOCIAÇÃO DIOCESANA DE OBRAS SOCIAIS,RUA AMAZONAS - 634 -,CENTRO,76100000,São Luís de Montes Belos,GO,Brasil,64-36801303,ADOS,mjfoliveira_1@hotmail.com,,
Associação de Pais e Amigos dos Excepcionais,Rua Vereador Alfredo Jacob - s/n -,Caixa DÁgua,83370000,Antonina,PR,Brasil,41-34320356,APAE de Antonina,apaeantonina@yahoo.com.br,,
ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,AVENIDA REPÚBLICA ARGENTINA - 483 - TERREO,VILA NOVA,86960000,Barbosa Ferraz,PR,Brasil,44-32751533,ESCOLA DE EDUC. ESPECIAL PROFª YARA SERAFIM,apaebf@hotmail.com,-0,84783109000132
Associação de Pais e Amigos dos Excepcionais,Rua Professor Daniel Muraro - 1112 -,Centro,84850000,Céu Azul,PR,Brasil,45-32661294,Escola de Educação Especial Beija-Flor,apae@netceu.com.br,,
Associação de Pais e Amigos dos Exepcionais,Rua dos Comerciários - 291 -,Jardim Monte Carlo,87550000,Altônia,PR,Brasil,44-36591823,APAE,altonia@apaepr.org.br,,
ASSOCIAÇÃO NOBREGA DE EDUCAÇÃO E ASSISTÊNCIA SOCIAL,"Rua Paracué, nº. 47, Sumaré, - 47 -",Sumaré,1257050,São Paulo,SP,Brasil,21-22868692,,,,
IRMÃS DE JESUS BOM PASTOR - PASTORINHAS,RUA PEPIGUARI - 302 -,ALTO DA LAPA,5059010,São Paulo,SP,Brasil,11-35135062,PASTORINHAS,elisangela.silva@meirafernandes.com.br,,
Associação de Pais e Amigos dos Excepcionais,Rua Joaquim dos Santos - 210 -,trançador,3744000,Caxambu,MG,Brasil,35-33413340,APAE DE CAXAMBU,apae@estancias.com.br,,
Grupo GASP - Grupo de Apoio Aos Soros Positivos,Rua Rutilo - 45 - Casa,Iguaçú,35162116,Ipatinga,MG,Brasil,31-3822-4565,GASP,gaspvaledoaco@wkve,www.gasp.org.br,2139901000194
Associação de Pais e Amigos dos Excepcionais,Rua Henrique Zibetti - s/n - -0,Centro,85450000,Campo Bonito,PR,Brasil,45-3233 1292,Escola Especializada Paraiso da Criança,apaecampobonito@bol.com.br,,
Associação de Pais e Amigos dos Excepcionais de Agrolândia,Rua: Leopoldo Zwicker - 57 -,Centro,88420000,Agrolândia,SC,Brasil,47-3534-4489,APAE,apaeagroandia_sc@yahoo.com.br,,
COMPANHIA DE JESUS - JESUITAS,Rua Paracuê - 47 -,Sumaré,1257050,São Paulo,SP,Brasil,21-22868692,,,,
ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,OLINTO LAMOUNIER - 58 - PREDIO,CENTRO,37280000,Candeias,MG,Brasil,35-38332733,APAE,apaeminascandeias@yahoo.com.br,,
Associação Comunitária do Município de Medina,RUA JOSÉ ARTUR SERAFIM - 107 -,JARDIM SERRA AZUL,39620000,Medina,MG,Brasil,33-3753-1136,ASCOMED,,,
APAE - ASSOC. DE PAIS E AMIGOS DOS EXCEPCIONAIS,AV. DE JULIO DE CASTILHOS - S/N -,VISTA ALEGRE,98300000,Palmeira das Missões,RS,Brasil,55-37421942,,,,
Associação de Pais e Amigos dos Excepcionais,Rua Verador Adolfo Bento da Silva - 4 -,Centro,37610000,Bom Repouso,MG,Brasil,35-34611277,,,,
ASSOCIAÇÃO INSTRUTORA DA JUVENTUDE FEMININA,RUA BARTIRA - 1004 -,VILA POMPÉIA,5009000,São Paulo,SP,Brasil,11-36728752,,,,
Abrigo Espírita Oscar José Pithan,Rua Silvio Romero - 413 -,Chácara das Flores,97043-68,Santa Maria,RS,Brasil,55-32216460,,,,
irmandade da santa casa de misericordia de arealva,Rua Jacinto Ribeiro de Barros - 342 -,centro,17160000,Arealva,SP,Brasil,14-32961222,santa casa de arealva,prefeitura@arealva.sp.gov.br,www.arealva.sp.gov.br,50741701000150
ASSOCIAÇÃO RELIGIOSA DI ESIN,RUA MARCILIO JACINTO SA - 172 -,SAO MATEUS,28300000,Itaperuna,RJ,Brasil,22-38227371,DI ESIN,diesin@diesin.org,www.diesin.org,36563666000103
"AAPEEC-Associação de Apoio a Pais, Educadores,Educandos do Curumim Vila Pérola",Rua Iguaçaba - 205 - casa,Vila Pérola,32110040,Contagem,MG,Brasil,31-3354-8887,,,,
APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,RUA TIA QUEIA - 339 -,JK,37165000,Campo do Meio,MG,Brasil,35-38572317,APAE DE CAMPO DO MEIO,pmcmsocial@yahoo.com.br,,
Associação de Pais e Amigos dos Excepcionais de Alvorada do Sul (PR),Rua Manoel Palma Cano - s/nº -,Jardim Santa Rosa,86150000,Alvorada do Sul,PR,Brasil,43-3661 2035,APAE de Alvorada do Sul,apae.alvorada@ibest.com.br,,
Associação de Desenvolvimento da Criança e do Adolescente de Veredinha,Avenida São Vicente - 99 -,Vila Tobias,39663000,Veredinha,MG,Brasil,38-35279154,ADECAVE,,,
"Instituição humanitária de direitos privados, de caráter civíl beneficente, sem fins lucrativos",Avenida Senador João Pedro - 193 -,Centro,65025790,São Luís,MA,Brasil,98-3232 6045,Associação das Damas de Assistência e Proteção à Infância,,,
Associação de Pais e Amigos dos Excepcionais de Arujá,Av. João Manoel - 840 -,Centro Residencial,7400000,Arujá,SP,Brasil,11-46553438,APAE de Arujá,apaearuja@uol.com.br,www.apaearuja.org.br,58488073000154
ASSOCIAÇÃO DE MORADORES DA VARGEM DO FORNO,Povoado Coroatazinho e/ou Av. Kennedy - 885 -,Centro,65500000,Chapadinha,MA,Brasil,98-34712601,,,,
Associação de Pais e Amigos dos Excepcionais de Botucatu,Rua Dr. João Queiroz Reis - 278 - Casa,Vila Sônia,18607010,Botucatu,SP,Brasil,14-38111310,APAE de Botucatu,apaebotucatu@terra.com.br,,
Amparo Providencia Lar das Vovozinhas,Av. Angelo Bolson - 1250 - casa,Medianeira,97070000,Santa Maria,RS,Brasil,55-21032626,Lar das Vovozinhas,amp.lar@terra.com.br,www.lardasvovozinhas.com.br,95623617000170
Associação de Pais e Amigos dos Excepcionais,Rua Anuar Pachá - 200 -,Pq Joaquim Lopes,15800670,Catanduva,SP,Brasil,17-35319777,APAE de Catanduva,apaecat@apaecat.org.br,www.apaecat.org.br,47079827000104
ALIANÇA DIVINÓPOLITANA DE ASSISTÊNCIA E PROMOÇÃO,AVENIDA 21 DE ABRIL - 655 -,CENTRO,35500010,Divinópolis,MG,Brasil,37-32213899,ADAP,adapdiv@bol.com.br,,
ASSOCIAÇÃO COMUNITÁRIA DE SÃO BRAZ,RUA ANTONIO ESCORSIN - 185 -,SÃO BRAZ,82015380,Curitiba,PR,Brasil,41-32722955,,,,
ASSOCIAÇÃO DE SURDOS,ELARDEMBERG DA SILVA COSTA - 24 -,MONTE CASTELO,59150000,Parnamirim,RN,Brasil,84-32725598,ASSOCIAÇÃO DE PORTADORES DE DEFICIÊNCIA AUDITIVA DE PARNAMIRIM,,,
Sociedade Humana Despertar,Rua Luiza Rodrigues da Silva - 15 -,Planalto do Sol,13171190,Sumaré,SP,Brasil,19-38289494,SHD,diretoria@shd.org.br,www.shd.org.br,958354000143
APAE ATALAIA,AV DR ANTONIO MORAES DE BARROS - 90 - PRÉDIO,CENTRO,87630000,Atalaia,PR,Brasil,44-32541355,apae,apaeatalaia@homenett.com.br,,
ASSOCIAÇÃO DE MORADORES DO JARDIM SANTA CECÍLIA,RUA HUMBERTO MIRANDA - 3 -,JARDIM CRISTÁLIA,5843250,São Paulo,SP,Brasil,11-58530173,ASSOCIAÇÃO SANTA CECÍLIA,associacaostacecilia@terra.com.br,scecilia.org.br (em construção),55641468000157
Associação de Pais e Amigos dos Excepcionais,Avenida Carlos Cruz - 443 -,José Brandão,34800000,Caeté,MG,Brasil,31-36513809,APAE / Caeté,apaecaete@yahoo.com.br,www.caetenews.com.br/apaecaete,21000203000158
ASSOCIAÇÃO COMUNIT DOS MORAD CONJ HAB ADEMAR GARCIA,AV. ALVINO HANSEN - 716 - PREDIO,ADHEMAR GARCIA,89230700,Joinville,SC,Brasil,47-34265591,ASSOCIAÇÃO DE MORADORES DO ADHEMAR GARCIA,amchag@yahoo.com.br,http://www.ambag.org.br,79360087000168
Abrace - AssociaçãoBrasileira para oAdolescente e a Criança Especial,Rua Princesa Isabel - 548 -,Brooklin,4601001,São Paulo,SP,Brasil,11-50963894,Abrace,abrace@associacaoabrace.org.br,www.associacaoabrace.org.br,62024120000186
Associação Comunitária de Assistência à Família,Rua João Gonçalves Ribeiro - 28 -,Conj. Habit. Casemiro Farias,63200000,Missão Velha,CE,Brasil,88-35421233,,,,
Abrigo João da Silva Santarém,Av. Juscelino kubstchek de Oliveira - 163 - Abrigo,Canaã,38660000,Buritis,MG,Brasil,38-36622187,Abrigo João da Silva Santarém,abrigoburitis@hotmail.com,www.ssvpburitis.com.br,20597845000113
ASEL AÇÃO SOCIAL ESTRELA DO LITORAL,RUA GASTÃO MADEIRA - 34 -,CENTRO,11680000,Ubatuba,SP,Brasil,12-38322580,ASEL,center.contabil@terra.com.br,,
SOCIEDADE HORBE DE PROMOÇÃO HUMANA,RUA MARLI - 14 - 1 ANDAR,JARDIM DO MAR,9726390,São Bernardo do Campo,SP,Brasil,11-8403-5225,HORBE,silvia_bertani@horbe.org.br,www.horbe.org.br,7280318000112
Fundação Educacional Dom José DÂngelo Neto,Av. Mons. Mauro Tommasini - 75 - Caixa Postal 187,São Carlos,37550000,Pouso Alegre,MG,Brasil,35-34211820,Fejan,administracao@facapa.edu.br,www.facapa.edu.br,5579079000170
OBRA KOLPING ESTADUAL DO PIAUI,CONJUNTO DIRCEU ARCOVERDE II - 3978 - QUADRA 168,DIRCEU II,64077450,Teresina,PI,Brasil,86-32361773,OKE-PI,kolpingpi@ig.com.br,,
DCA - Desenvolvendo a Criança e o Adolescente,RUA RUBIÃO JUNIOR - 1530 -,Centro,14701400,Bebedouro,SP,Brasil,17-33433643,,,,
Associação de Promoção Humana de Piumhi,Praça Dr. Avelino de Queiroz - 40 -,Centro,37925000,Piumhi,MG,Brasil,37-33716530,Casa de Maria,aprohumana@yahoo.com.br,,
HOSPITAL DE CARIDADE SÃO ROQUE,RUA CECI LEITE COSTA - 1266 -,CENTRO,97220000,Faxinal do Soturno,RS,Brasil,55-32631301,HOSPITAL DE CARIDADE SÃO ROQUE,hcsr@hcsr.com.br,www.hcsr.com.br,89891337000140
